ShamsiDate,Time,CO2 Klin no.1 (%),CO2 Klin no.2 (%),<10 (%),10-60 (%),>60 (%),ShamsiDateTime,Timestamp
1404/07/13,20:00,3.94,5.94,,,,1404-07-13 20:00:00,2025-10-05 20:00:00
1404/07/14,00:00,2.04,4.96,,,,1404-07-15 00:00:00,2025-10-07 00:00:00
1404/07/14,04:00,2.94,5.59,,,,1404-07-15 04:00:00,2025-10-07 04:00:00
1404/07/14,08:00,9.62,1.97,3.5,96.5,0.0,1404-07-14 08:00:00,2025-10-06 08:00:00
1404/07/14,10:00,6.64,,3.3,96.7,0.0,1404-07-14 10:00:00,2025-10-06 10:00:00
1404/07/14,12:00,4.5,9.34,,,,1404-07-14 12:00:00,2025-10-06 12:00:00
1404/07/14,14:00,,5.13,3.8,96.2,0.0,1404-07-14 14:00:00,2025-10-06 14:00:00
1404/07/14,16:00,1.95,3.49,,,,1404-07-14 16:00:00,2025-10-06 16:00:00
1404/07/14,20:00,5.22,5.11,,,,1404-07-14 20:00:00,2025-10-06 20:00:00
1404/07/15,00:00,2.12,0.85,,,,1404-07-16 00:00:00,2025-10-08 00:00:00
1404/07/15,04:00,4.91,2.62,,,,1404-07-16 04:00:00,2025-10-08 04:00:00
1404/07/15,08:00,6.03,5.17,4.4,95.6,0.0,1404-07-15 08:00:00,2025-10-07 08:00:00
1404/07/15,10:00,,,4.2,95.8,0.0,1404-07-15 10:00:00,2025-10-07 10:00:00
1404/07/15,12:00,4.54,2.21,,,,1404-07-15 12:00:00,2025-10-07 12:00:00
1404/07/15,14:00,,,4.4,95.6,0.0,1404-07-15 14:00:00,2025-10-07 14:00:00
1404/07/15,16:00,4.49,0.79,,,,1404-07-15 16:00:00,2025-10-07 16:00:00
1404/07/15,20:00,1.03,2.64,,,,1404-07-15 20:00:00,2025-10-07 20:00:00
1404/07/16,00:00,1.88,4.35,,,,1404-07-17 00:00:00,2025-10-09 00:00:00
1404/07/16,04:00,2.4,2.72,,,,1404-07-17 04:00:00,2025-10-09 04:00:00
1404/07/16,08:00,7.04,1.83,4.8,95.2,0.0,1404-07-16 08:00:00,2025-10-08 08:00:00
1404/07/16,10:00,,,12.7,87.3,0.0,1404-07-16 10:00:00,2025-10-08 10:00:00
1404/07/16,12:00,3.69,3.49,,,,1404-07-16 12:00:00,2025-10-08 12:00:00
1404/07/16,14:00,,,4.7,95.3,0.0,1404-07-16 14:00:00,2025-10-08 14:00:00
1404/07/16,16:00,4.07,5.42,,,,1404-07-16 16:00:00,2025-10-08 16:00:00
1404/07/16,20:00,4.28,2.24,,,,1404-07-16 20:00:00,2025-10-08 20:00:00
1404/07/17,00:00,7.55,2.22,,,,1404-07-18 00:00:00,2025-10-10 00:00:00
1404/07/17,04:00,5.54,2.61,,,,1404-07-18 04:00:00,2025-10-10 04:00:00
1404/07/17,08:00,1.79,4.39,4.3,95.7,0.0,1404-07-17 08:00:00,2025-10-09 08:00:00
1404/07/17,10:00,,,,,,1404-07-17 10:00:00,2025-10-09 10:00:00
1404/07/17,12:00,4.87,3.07,,,,1404-07-17 12:00:00,2025-10-09 12:00:00
1404/07/17,14:00,,,,,,1404-07-17 14:00:00,2025-10-09 14:00:00
1404/07/17,16:00,5.57,7.47,,,,1404-07-17 16:00:00,2025-10-09 16:00:00
1404/07/17,20:00,3.95,2.97,,,,1404-07-17 20:00:00,2025-10-09 20:00:00
1404/07/18,00:00,6.02,2.65,,,,1404-07-19 00:00:00,2025-10-11 00:00:00
1404/07/18,04:00,7.03,3.83,,,,1404-07-19 04:00:00,2025-10-11 04:00:00
1404/07/18,08:00,1.91,1.82,5.0,95.0,0.0,1404-07-18 08:00:00,2025-10-10 08:00:00
1404/07/18,10:00,,,,,,1404-07-18 10:00:00,2025-10-10 10:00:00
1404/07/18,12:00,4.89,3.34,,,,1404-07-18 12:00:00,2025-10-10 12:00:00
1404/07/18,14:00,,,,,,1404-07-18 14:00:00,2025-10-10 14:00:00
1404/07/18,16:00,4.81,2.61,,,,1404-07-18 16:00:00,2025-10-10 16:00:00
1404/07/18,20:00,5.03,0.81,,,,1404-07-18 20:00:00,2025-10-10 20:00:00
1404/07/19,00:00,5.63,1.92,,,,1404-07-20 00:00:00,2025-10-12 00:00:00
1404/07/19,04:00,4.23,1.24,,,,1404-07-20 04:00:00,2025-10-12 04:00:00
1404/07/19,08:00,5.13,4.6,4.6,95.4,0.0,1404-07-19 08:00:00,2025-10-11 08:00:00
1404/07/19,10:00,,,4.4,95.6,0.0,1404-07-19 10:00:00,2025-10-11 10:00:00
1404/07/19,12:00,1.88,3.81,,,,1404-07-19 12:00:00,2025-10-11 12:00:00
1404/07/19,14:00,,,3.3,96.7,0.0,1404-07-19 14:00:00,2025-10-11 14:00:00
1404/07/19,16:00,6.2,5.31,,,,1404-07-19 16:00:00,2025-10-11 16:00:00
1404/07/19,20:00,2.26,1.8,,,,1404-07-19 20:00:00,2025-10-11 20:00:00
1404/07/20,00:00,3.02,2.27,,,,1404-07-21 00:00:00,2025-10-13 00:00:00
1404/07/20,04:00,4.01,3.19,,,,1404-07-21 04:00:00,2025-10-13 04:00:00
1404/07/20,08:00,3.31,1.76,4.4,95.6,0.0,1404-07-20 08:00:00,2025-10-12 08:00:00
1404/07/20,10:00,,,3.6,96.4,0.0,1404-07-20 10:00:00,2025-10-12 10:00:00
1404/07/20,12:00,4.28,2.63,,,,1404-07-20 12:00:00,2025-10-12 12:00:00
1404/07/20,14:00,,,3.8,96.2,0.0,1404-07-20 14:00:00,2025-10-12 14:00:00
1404/07/20,16:00,5.44,4.86,,,,1404-07-20 16:00:00,2025-10-12 16:00:00
1404/07/20,20:00,8.59,3.69,,,,1404-07-20 20:00:00,2025-10-12 20:00:00
1404/07/20,20:30,6.43,,,,,1404-07-20 20:30:00,2025-10-12 20:30:00
1404/07/21,00:00,4.12,5.48,,,,1404-07-22 00:00:00,2025-10-14 00:00:00
1404/07/21,04:00,6.02,6.65,,,,1404-07-22 04:00:00,2025-10-14 04:00:00
1404/07/21,08:00,3.47,5.12,4.6,95.4,0.0,1404-07-21 08:00:00,2025-10-13 08:00:00
1404/07/21,10:00,,,4.0,96.0,0.0,1404-07-21 10:00:00,2025-10-13 10:00:00
1404/07/21,12:00,6.66,9.8,,,,1404-07-21 12:00:00,2025-10-13 12:00:00
1404/07/21,13:00,,5.83,,,,1404-07-21 13:00:00,2025-10-13 13:00:00
1404/07/21,14:00,,,3.9,96.1,0.0,1404-07-21 14:00:00,2025-10-13 14:00:00
1404/07/21,16:00,4.61,3.09,,,,1404-07-21 16:00:00,2025-10-13 16:00:00
1404/07/21,20:00,3.09,4.18,,,,1404-07-21 20:00:00,2025-10-13 20:00:00
1404/07/22,00:00,3.05,6.78,,,,1404-07-23 00:00:00,2025-10-15 00:00:00
1404/07/22,04:00,4.45,4.36,,,,1404-07-23 04:00:00,2025-10-15 04:00:00
1404/07/22,08:00,4.13,4.29,4.2,95.8,0.0,1404-07-22 08:00:00,2025-10-14 08:00:00
1404/07/22,10:00,,,6.3,93.7,0.0,1404-07-22 10:00:00,2025-10-14 10:00:00
1404/07/22,12:00,7.98,3.81,,,,1404-07-22 12:00:00,2025-10-14 12:00:00
1404/07/22,14:00,5.54,,3.8,91.2,5.0,1404-07-22 14:00:00,2025-10-14 14:00:00
1404/07/22,16:00,5.97,6.62,,,,1404-07-22 16:00:00,2025-10-14 16:00:00
1404/07/22,20:00,4.39,8.77,,,,1404-07-22 20:00:00,2025-10-14 20:00:00
1404/07/22,21:30,,8.99,,,,1404-07-22 21:30:00,2025-10-14 21:30:00
1404/07/23,00:00,4.16,2.09,,,,1404-07-24 00:00:00,2025-10-16 00:00:00
