SheetName,ShamsiDate,Time,Timestamp,CO2_Klin1,CO2_Klin2,CO2_gt40mm,pct_lt10,pct_10_60,pct_gt60
24,1404/07/24,08:00,2025-10-16 08:00:00,6.56,6.17,9.53,11.4,88.6,0.0
24,1404/07/24,10:00,2025-10-16 10:00:00,,,,,,
24,1404/07/24,12:00,2025-10-16 12:00:00,3.11,5.54,,,,
24,1404/07/24,14:00,2025-10-16 14:00:00,,,,,,
24,1404/07/24,16:00,2025-10-16 16:00:00,5.51,5.65,,,,
24,1404/07/24,20:00,2025-10-16 20:00:00,4.12,0.96,,,,
24,1404/07/24,00:00,2025-10-17 00:00:00,3.84,5.32,,,,
24,1404/07/24,04:00,2025-10-17 04:00:00,5.91,2.53,,,,
25,1404/07/25,08:00,2025-10-17 08:00:00,6.22,4.4,4.94,5.1,94.9,0.0
25,1404/07/25,10:00,2025-10-17 10:00:00,,,,,,
25,1404/07/25,12:00,2025-10-17 12:00:00,3.44,5.17,,,,
25,1404/07/25,14:00,2025-10-17 14:00:00,,,,,,
25,1404/07/25,16:00,2025-10-17 16:00:00,7.08,7.38,,,,
25,1404/07/25,20:00,2025-10-17 20:00:00,3.36,3.38,,,,
25,1404/07/25,00:00,2025-10-18 00:00:00,3.06,4.94,,,,
25,1404/07/25,04:00,2025-10-18 04:00:00,2.42,4.86,,,,
26,1404/07/26,05:30,2025-10-18 05:30:00,3.3,,,,,
26,1404/07/26,08:00,2025-10-18 08:00:00,7.0,2.89,15.57,7.6,92.4,0.0
26,1404/07/26,10:00,2025-10-18 10:00:00,,,9.86,4.8,95.2,0.0
26,1404/07/26,12:00,2025-10-18 12:00:00,8.02,2.35,,,,
26,1404/07/26,14:00,2025-10-18 14:00:00,12.22,,2.55,4.9,95.1,0.0
26,1404/07/26,16:00,2025-10-18 16:00:00,9.95,5.81,,,,
26,1404/07/26,20:00,2025-10-18 20:00:00,8.64,3.56,,,,
26,1404/07/26,00:00,2025-10-19 00:00:00,3.18,3.46,,,,
26,1404/07/26,04:00,2025-10-19 04:00:00,8.34,6.4,,,,
27,1404/07/27,08:00,2025-10-19 08:00:00,3.22,2.22,7.35,5.7,94.3,0.0
27,1404/07/27,10:00,2025-10-19 10:00:00,,,9.27,17.1,82.9,0.0
27,1404/07/27,12:00,2025-10-19 12:00:00,4.1,2.89,,,,
27,1404/07/27,14:00,2025-10-19 14:00:00,,,8.73,11.7,88.3,0.0
27,1404/07/27,16:00,2025-10-19 16:00:00,1.4,4.73,,,,
27,1404/07/27,20:00,2025-10-19 20:00:00,1.49,3.94,,,,
27,1404/07/27,00:00,2025-10-20 00:00:00,4.28,4.52,,,,
27,1404/07/27,04:00,2025-10-20 04:00:00,2.04,2.17,,,,
28,1404/07/28,08:00,2025-10-20 08:00:00,2.6,4.58,6.34,5.4,94.6,0.0
28,1404/07/28,10:00,2025-10-20 10:00:00,,,8.55,3.8,96.2,0.0
28,1404/07/28,12:00,2025-10-20 12:00:00,6.36,1.39,,,,
28,1404/07/28,14:00,2025-10-20 14:00:00,,,13.04,4.4,95.6,0.0
28,1404/07/28,16:00,2025-10-20 16:00:00,5.66,4.37,,,,
28,1404/07/28,20:00,2025-10-20 20:00:00,2.51,3.94,,,,
28,1404/07/28,00:00,2025-10-21 00:00:00,4.52,5.13,,,,
28,1404/07/28,04:00,2025-10-21 04:00:00,3.98,1.31,,,,
29,1404/07/29,08:00,2025-10-21 08:00:00,6.37,2.58,8.94,4.8,95.2,0.0
29,1404/07/29,10:00,2025-10-21 10:00:00,,,10.44,4.7,95.3,0.0
29,1404/07/29,12:00,2025-10-21 12:00:00,9.78,1.91,,,,
29,1404/07/29,12:30,2025-10-21 12:30:00,3.08,,,,,
29,1404/07/29,14:00,2025-10-21 14:00:00,,,2.45,4.5,95.5,0.0
29,1404/07/29,16:00,2025-10-21 16:00:00,3.57,5.54,,,,
29,1404/07/29,20:00,2025-10-21 20:00:00,2.04,3.57,,,,
29,1404/07/29,00:00,2025-10-22 00:00:00,3.72,3.16,,,,
29,1404/07/29,04:00,2025-10-22 04:00:00,3.17,1.34,,,,
